no;smiles;biotic_flag;ExactMolWt;MolLogP;NumHAcceptors;NumHDonors
76;N#CCCNC(=O)CNC(=O)CN=CC(O)CO;0;256.117154992;-2.443519999999998;6.0;4.0
77;N#Cc1nc[nH]c1N1C(=O)N=C(N)C1CO;0;220.070873496;-1.0605200000000004;5.0;3.0
78;N=C(N)NCC=Nc1[nH]cnc1C(=O)O;0;210.08652356;-0.7067299999999994;4.0;5.0
79;CCN(CC(N)=O)C(=O)CCN(CCC#N)C(N)=O;0;269.148789468;-0.9953199999999989;4.0;2.0
80;NC(=O)c1nc[nH]c1NC(C(N)=S)C(O)CO;0;259.073910276;-2.0715999999999997;6.0;6.0
81;N=C(N)NCC(=O)Nc1ncnc2[nH]cnc12;0;234.09775693999998;-1.2255299999999998;5.0;5.0
82;NC(=O)NCC(=O)NCC(=O)NCC(=O)O;0;232.080769484;-3.028299999999999;4.0;5.0
83;CC=C(c1ccccc1)C(C#N)N(CC#N)C(=O)C(N)CO;0;298.142975816;0.6538599999999999;5.0;2.0
84;CC(C(=O)O)N(CCC#N)C(N)=O;0;185.080041212;-0.24612;3.0;2.0
85;N#CCCN(C(=O)CNC(=N)NC(=N)N)C(CO)C(N)=O;0;298.15018643599996;-3.4176799999999976;6.0;7.0
86;N#CC(N)CCC(C#N)NC(=O)C(N)CO;0;225.12257472;-2.0545399999999985;6.0;4.0
87;COC(=O)CCN(CC#N)C(=O)CN=CC(C)NC(=N)N;0;296.1596885;-1.1559499999999971;6.0;3.0
88;CC(C#N)N(CC(N)=O)C(=O)CN1CCC(N)=NC1=O;0;280.12838837199996;-1.6047199999999977;5.0;2.0
89;CC=C(C=NCC(=O)N(CCO)CCC#N)c1ccccc1;0;299.163376912;1.8952799999999999;4.0;1.0
90;C=CC(C#N)Nc1[nH]c(=O)[nH]c1C#N;0;189.065059844;0.0647600000000001;4.0;3.0
91;CSCCC(=O)NCC(=O)NC(CC(N)=O)C(N)=O;0;290.10487605599997;-2.298799999999998;5.0;4.0
92;CC(CO)=NCC(N)=O;0;130.07422756;-1.0751000000000002;3.0;2.0
93;N#CCC(C#N)NC(=O)CNC(=S)C(O)CO;0;256.063011244;-1.8213400000000004;6.0;4.0
94;O=C(O)C(Cc1ccccc1)NCCc1ccccc1;0;269.141578848;2.5146000000000006;2.0;2.0
95;CC(NC=CC(N)=O)C(N)=O;0;157.085126592;-1.5511999999999997;3.0;3.0
96;NC(=O)c1nc[nH]c1N(CCO)C(N)=O;0;213.086189212;-1.6139999999999999;4.0;4.0
97;CC(C#N)N(CC(=O)NCCC#N)C(=N)N;0;222.12290906799998;-0.8761699999999983;4.0;3.0
98;NC(=O)C(CO)NCCC(=O)NC(CO)C(N)=O;0;262.127719676;-4.225299999999996;6.0;6.0
