smiles; heat of formation [kcal/mol]
Cc1cnc(NC(=O)CCN(CC(=O)NCC(N)=O)C(N)=O)o1;-194.19738
Cc1cnc(NC(=O)CCN(CC(=O)NCC(=O)O)C(=N)N)o1;-168.69151
Cc1cnc(NC(=O)CCN(CC(=O)NCC(=O)O)C(N)=O)o1;-236.38445
Cc1cnc(NC(=O)CCN(CC(=O)O)CC(O)C(N)=O)o1;-234.30069
Cc1cnc(NC(=O)CCN(CC(=O)O)CC(O)C(=O)Nc2ncc(C)o2)o1;-237.61574
Cc1cnc(NC(=O)CCN(CC(=O)O)CC(O)C(=O)O)o1;-278.07617
Cc1cnc(NC(=O)CCN(CC(=O)O)C(=N)NC(=N)N)o1;-104.39609
Cc1cnc(NC(=O)CCN(CC(=O)O)C(=N)N)o1;-124.38566
Cc1cnc(NC(=O)CCN(CC(=O)O)C(N)=O)o1;-187.89474
Cc1cnc(NC(=O)CCN(C(=N)N)C(Cc2ccccc2)C(N)=O)o1;-60.12173
Cc1cnc(NC(=O)CCN(C(=N)N)C(Cc2ccccc2)C(=O)O)o1;-105.69867
Cc1cnc(NC(=O)CCN(C(=N)N)C(CC#N)C(N)=O)o1;-50.10442
Cc1cnc(NC(=O)CCN(C(=N)N)C(C)C#N)o1;-3.90735
Cc1cnc(NC(=O)CCN(C(=N)N)C(CC(N)=O)C(N)=O)o1;-130.78211
Cc1cnc(NC(=O)CCN(C(=N)N)C(CC(=O)O)C(=O)O)o1;-219.76467
Cc1cnc(NC(=O)CCN(C(=N)N)C(C#N)Cc2ccccc2)o1;16.63091
Cc1cnc(NC(=O)CCN(C(=N)N)C(C#N)CC#N)o1;27.58812
Cc1cnc(NC(=O)CCN(C(=N)N)C(C#N)CO)o1;-49.15312
Cc1cnc(NC(=O)CCN(C(=N)NC(=N)N)C(CC#N)C(N)=O)o1;-32.51574
Cc1cnc(NC(=O)CCN(C(=N)NC(=N)N)C(C)C#N)o1;12.50393
Cc1cnc(NC(=O)CCN(C(=N)NC(=N)N)C(C#N)CC#N)o1;44.21554
Cc1cnc(NC(=O)CCN(C(=N)NC(=N)N)C(C#N)CO)o1;-31.44417
Cc1cnc(NC(=O)CC(NC(=N)NC(=N)N)C(=O)Nc2ncc(C)o2)o1;-61.26687
Cc1cnc(NC(=O)CCNC(=N)NC(=N)N)o1;-16.32959
Cc1cnc(NC(=O)CC(NC(=N)N)C(=O)Nc2ncc(C)o2)o1;-78.59632
Cc1cnc(NC(=O)CCNC(=N)N)o1;-35.77406
Cc1cnc(NC(=O)CCN(C(N)=O)C(Cc2ccccc2)C(N)=O)o1;-130.8475
Cc1cnc(NC(=O)CCN(C(N)=O)C(Cc2ccccc2)C(=O)O)o1;-174.56531
Cc1cnc(NC(=O)CCN(C(N)=O)C(CC#N)C(N)=O)o1;-118.35326
Cc1cnc(NC(=O)CCN(C(N)=O)C(C)C#N)o1;-69.71287
Cc1cnc(NC(=O)CCN(C(N)=O)C(CC(N)=O)C(N)=O)o1;-199.32167
Cc1cnc(NC(=O)CCN(C(N)=O)C(CC(=O)O)C(=O)O)o1;-285.78876
Cc1cnc(NC(=O)CCN(C(N)=O)C(C#N)Cc2ccccc2)o1;-49.03298
Cc1cnc(NC(=O)CCN(C(N)=O)C(C#N)CC#N)o1;-37.97478
