smiles;Kin (i.e. how many reactions give this molecule);Kout (i.e. how many reactions use this molecule as substrate)
N#CCCN(C=O)c1ncnc(C#N)c1N(C=O)CCC#N;1;3
N#CC(O)C(=CCO)c1ccccc1;1;5
N#CCCN(CC#N)C(=N)C#N;1;0
N#Cc1nc[nH]c1NC(=O)CNC(N)=O;1;6
O=C(O)CNCCc1ccccc1;2;13
N#CC(NC(N)=O)C(=CCc1ccccc1)c1ccccc1;1;2
N#CCCN(C(N)=O)C(C(N)=O)C(N)=O;1;1
CC=NC(C#N)CC#N;1;1
N#CCC(C#N)NC(=O)CNC=CC(N)=O;1;0
CSCCC(=O)O;1;4
NCC(=O)N(CCC(N)=O)CC(N)=O;2;29
N=C(N)NCC(=O)N(CCC(=O)O)c1[nH]cnc1C(=O)O;1;1
NC(=O)Nc1ncnc(C(N)=O)c1NC(N)=O;1;1
CC=C(C=NC(CC(=O)O)C(=O)O)c1ccccc1;1;1
O=C(O)CNC(=O)C(=O)NCC(=O)O;1;6
N#CC(N)C(O)CO;1;20
N#CCCN(C(C#N)Cc1ccccc1)C(C(N)=O)C(N)=O;1;3
N=C(N)NCC(=O)Nc1ncco1;1;3
N=C(Nc1cc[nH]c(=O)n1)C(=N)Nc1cc[nH]c(=O)n1;1;1
N#CC=CN(CCC#N)C(C#N)C#N;1;0
C=Cc1nc(N)nc(NCC#N)n1;2;3
N#CC(=N)N(CC(=O)O)CC(=O)O;1;0
N#CCCNc1[nH]cnc1Cc1ccccc1;1;10
N#CCCN(C(N)=O)C(C#N)=C(N)C#N;1;3
NC=Nc1ncnc2[nH]cnc12;1;4
N#CCCN1CC(N)=NC1=O;1;0
N#CCCN(CC#N)c1[nH]cnc1C(=O)O;1;12
C=CC(N)=O;1;2
N#CCCN(CC(=O)O)C(=O)CNC(=N)N;2;3
NC(=O)CNCC(N)=S;1;0
N#CCC(C#N)NC(=O)CNC(=O)CNC(N)=O;1;1
NC(=O)CNCC(N)=O;2;13
N#Cc1ncnc2[nH]c(=O)c(=O)[nH]c12;1;6
OCC=Nc1[nH]cnc1Cc1ccccc1;1;1
CC=C(C=Nc1[nH]cnc1C(N)=O)c1ccccc1;1;1
NC(=S)C(O)C(=CCc1ccccc1)c1ccccc1;1;3
NC(=S)c1[nH]c(=O)[nH]c1N;1;3
NC(=S)CNC(Cc1ccccc1)C(N)=S;1;3
CC=C(C=Nc1ncco1)c1ccccc1;1;1
N#CCNCC(=O)N(CC#N)CC#N;1;15
C=C(C=Nc1cc[nH]c(=O)n1)c1ccccc1;1;1
C=C(c1ccccc1)C(C#N)Nc1[nH]cnc1C(N)=O;1;7
NC(=O)CN(C=O)CC(=O)O;1;1
N#CC=CN(CCC(N)=O)C(C(N)=O)C(N)=O;1;0
N#CC(Cc1ccccc1)N(CC(=O)O)C(=N)NC(=N)N;1;2
NC(=O)COC(=O)CCNC(Cc1ccccc1)C(N)=O;1;11
N#CC=CN(CCC#N)C(C#N)Cc1ccccc1;1;0
COC(=O)CCNCC(N)=O;1;12
COC(=O)CC(NCCC(=O)O)C(=O)OC;1;16
N#CCN(CC(=O)O)C(=O)CNC(=S)CNC(N)=O;1;1
NC(=O)COC(=O)CCNCC(=O)O;1;11
N#CCN(CC(=O)O)C(=O)CNC(=S)CNC(=N)N;1;1
N#CCC(C#N)N=CC(O)CO;1;1
NC(=O)CNC(=S)c1nc[nH]c1NC(N)=O;1;1
NC(=O)Nc1ncnc(C(=O)O)c1NC(N)=O;1;5
NC(=O)C(N=CC(O)CO)C(N)=O;1;1
N#CCCN(CCC(=O)O)CC(=O)O;1;7
O=C(O)C=NC(Cc1ccccc1)C(=O)O;1;1
C=CC=NC(CC(N)=O)C(N)=O;1;1
N#CCN=CC(=CCO)c1ccccc1;1;1
N#CCNc1[nH]cnc1C(N)=O;1;9
N#CCN(CCc1ccccc1)C(=O)CN;1;34
N#CC=CN(CC(=O)O)C(C#N)Cc1ccccc1;1;0
NC(=S)C(N)Cc1ccccc1;1;2
NC(=S)C(O)CO;1;3
NC(=O)CN=CC(O)CO;1;1
N#CCCN(C(=O)CN)C(C#N)Cc1ccccc1;1;34
N#CCCNC(=S)CNC(N)=O;1;1
NC(=O)c1ncnc(NC=O)c1NC=O;1;2
NC(=O)C=CNCC(N)=O;1;0
N#CCN(CC#N)C(=O)CNC(=S)CNC(=N)N;1;1
N#CC(Cc1ccccc1)N(C=O)C(C(N)=O)C(N)=O;1;2
N#CCC(C#N)N=CCNC(=N)N;1;1
N=C(N)NCC(=O)N(CC(N)=O)CC(=O)O;1;0
